ticker,name,market_cap
001940,KISCO홀딩스,365750604000
459510,나우로보틱스,364694003300
204620,글로벌텍스프리,364067649400
123890,한국자산신탁,364062429850
025860,남해화학,363649130760
005710,대원산업,363281688000
0007C0,아크릴,362569128600
215000,골프존,362091445500
067390,아스트,361632348363
095500,미래나노텍,360646288370
065660,안트로젠,359719295000
472850,폰드그룹,359247108480
000540,흥국화재,358473959100
389260,대명에너지,358326500000
236200,슈프리마,357783558900
024720,콜마홀딩스,357709981370
327260,RF머트리얼즈,356637953750
308430,셀비온,356074402500
475560,더본코리아,355129881500
009160,SIMPAC,354310646560
023760,한국캐피탈,353798334696
138610,나이벡,352911319200
419530,SAMG엔터,351717637000
265520,AP시스템,351436670350
089980,상아프론테크,350959362150
017860,DS단석,350805029400
416180,신성에스티,350743386400
378340,필에너지,350703491880
049070,인탑스,349160000000
092230,KPX홀딩스,348110830400
104700,한국철강,346275000000
001460,BYC,346036710000
445090,에이직랜드,345797075700
003960,사조대림,345042182550
243070,휴온스,344415368750
001750,한양증권,343670418000
464080,에스오에스랩,343660745850
034120,SBS,343197903000
036200,유니셈,343132655370
393890,더블유씨피,341138891520
017390,서울가스,340500000000
010820,퍼스텍,340428127240
241590,화승엔터프라이즈,339299945600
294570,쿠콘,339082195200
036890,진성티이씨,338641415510
354320,알멕,338104054900
080580,오킨스전자,337942909920
448280,에코아이,336609625440
003120,일성아이에스,336490000000
136480,하림,336153706830
003200,일신방직,333379200000
000490,대동,330932410200
380550,뉴로핏,330107095500
002320,한진,329837966500
190510,나무가,329596417800
304100,솔트룩스,329329308250
033270,유나이티드제약,329126513300
244920,에이플러스에셋,326229009990
002900,TYM,325818000000
035600,KG이니시스,324591232520
108860,셀바스AI,323784923700
007160,사조산업,323000000000
226590,엠디바이스,322112755200
357550,석경에이티,321845000000
045390,대아티아이,321006232235
151860,KG에코솔루션,320844233480
064550,바이오니아,320305711310
019210,와이지-원,318951280500
274090,켄코아에어로스페이스,318151674750
099430,바이오플러스,318066125520
02826K,삼성물산우B,316999440000
025770,한국정보통신,315280761820
018000,유니슨,315027698470
256840,한국비엔씨,314958450030
019010,베뉴지,314746000000
037710,광주신세계,314706864500
009680,모토닉,314440500000
0008Z0,에스엔시스,313765753000
043150,바텍,312682088800
254490,미래반도체,311860800000
096760,JW홀딩스,310484756400
004360,세방,310055080660
206640,바디텍메드,310022592000
054950,제이브이엠,309501235200
255220,SG,309294219100
462860,더즌,309287175855
001340,PKC,308589456090
009470,삼화전기,308204012000
108380,대양전기공업,307589755950
267980,매일유업,307311883800
307180,아이엘,306974838920
092730,네오팜,306775709460
900140,엘브이엠씨홀딩스,306672565584
003920,남양유업,306600000000
136490,선진,304616727240
389020,자람테크놀로지,304308543000
004560,현대비앤지스틸,303084101100
270660,에브리봇,302670404550
061970,LB세미콘,302031631200
001230,동국홀딩스,301150574010
011690,와이투솔루션,301096774740
475230,엔알비,300581395400
084990,헬릭스미스,300525036440
078520,에이블씨엔씨,300463559550
484810,티엑스알로보틱스,300211278450
054210,이랜텍,298183365900
065680,우주일렉트로,297543166200
030210,다올투자증권,297246197280
058820,CMG제약,297162787830
176750,듀켐바이오,295934288000
092790,넥스틸,295122700000
241770,메카로,294567296000
403850,더핑크퐁컴퍼니,294195705000
474170,루미르,294170160960
452430,사피엔반도체,293795144500
013120,동원개발,290585920000
018310,삼목에스폼,290178000000
000680,LS네트웍스,289995098880
950250,테라뷰,288759153030
024060,흥구석유,288450000000
203400,에이비온,288324172800
481070,에이유브랜즈,287448000000
042370,비츠로테크,286890273750
382900,범한퓨얼셀,286484700000
058430,포스코스틸리온,285600000000
033530,SJG세종,285164850250
051370,인터플렉스,284128608960
000050,경방,283748044500
034810,해성산업,283570224470
108670,LX하우시스,283378372000
013890,지누스,283300752480
214180,헥토이노베이션,282605732250
126700,하이비젼시스템,281957653440
053300,한국정보인증,281810637040
067080,대화제약,281669914500
043370,피에이치에이,281400000000
056090,시지메드텍,279831987560
457550,우진엔텍,279568740000
112290,와이씨켐,279556569250
140670,알에스오토메이션,278624528000
033920,무학,277590000000
035150,백산,277436689980
451760,컨텍,275600898000
094820,일진파워,275186439250
285490,노바텍,274971606000
003547,대신증권2우B,274000000000
017890,한국알콜,273364552100
322310,오로스테크놀로지,273034699300
372170,윤성에프앤씨,272085536800
290740,액트로,270245545350
211270,AP위성,269671595520
418550,제이오,269588806660
338220,뷰노,268975019830
039860,나노엔텍,268175093120
092460,한라IMS,268108685600
007860,서연,267670221600
000430,대원강업,267530000000
073490,이노와이어리스,267275186900
194700,노바렉스,267069035520
065710,서호전기,266770000000
